date,open,high,low,close
2023-01-02 00:00:00,1.07048,1.07078,1.06928,1.0706
2023-01-02 01:00:00,1.0708,1.07108,1.0689,1.06978
2023-01-02 02:00:00,1.06933,1.06968,1.0684,1.06953
2023-01-02 03:00:00,1.07028,1.0703,1.0692,1.06956
2023-01-02 04:00:00,1.06953,1.07036,1.06953,1.0702
2023-01-02 05:00:00,1.07016,1.07028,1.06846,1.0694
2023-01-02 06:00:00,1.06943,1.06998,1.0672,1.0693
2023-01-02 07:00:00,1.06928,1.06948,1.0664,1.06787
2023-01-02 08:00:00,1.06797,1.06985,1.06715,1.06802
2023-01-02 09:00:00,1.068,1.07008,1.06772,1.06787
2023-01-02 10:00:00,1.06785,1.06898,1.06755,1.06838
2023-01-02 11:00:00,1.06835,1.06868,1.06795,1.06845
2023-01-02 12:00:00,1.06848,1.06878,1.06768,1.06825
2023-01-02 13:00:00,1.0682,1.06872,1.06768,1.06787
2023-01-02 14:00:00,1.06785,1.06825,1.06708,1.06733
2023-01-02 15:00:00,1.0673,1.06738,1.06587,1.0661
2023-01-02 16:00:00,1.06608,1.06725,1.06513,1.0655
2023-01-02 17:00:00,1.06552,1.0663,1.06548,1.0661
2023-01-02 18:00:00,1.0661,1.06628,1.0652,1.0653
2023-01-02 19:00:00,1.06525,1.06615,1.06505,1.06568
2023-01-02 20:00:00,1.0657,1.06692,1.0656,1.06662
2023-01-02 21:00:00,1.06648,1.0674,1.0657,1.06675
2023-01-02 22:00:00,1.06675,1.06678,1.06658,1.0666
2023-01-02 23:00:00,1.0672,1.06836,1.06502,1.06768
2023-01-03 00:00:00,1.06768,1.06784,1.0667,1.06708
2023-01-03 01:00:00,1.06707,1.06746,1.06507,1.066
2023-01-03 02:00:00,1.066,1.0678,1.06578,1.06768
2023-01-03 03:00:00,1.06768,1.06787,1.06692,1.06725
2023-01-03 04:00:00,1.06726,1.06805,1.06672,1.06675
2023-01-03 05:00:00,1.06676,1.0671,1.06592,1.06638
2023-01-03 06:00:00,1.06637,1.0668,1.06517,1.06524
2023-01-03 07:00:00,1.06525,1.06588,1.06202,1.06238
2023-01-03 08:00:00,1.06237,1.06284,1.0551,1.0552
2023-01-03 09:00:00,1.05522,1.05611,1.05342,1.05478
2023-01-03 10:00:00,1.05479,1.05551,1.05255,1.05313
2023-01-03 11:00:00,1.05312,1.0536,1.05195,1.05285
2023-01-03 12:00:00,1.05285,1.05494,1.05241,1.0536
2023-01-03 13:00:00,1.05358,1.057,1.05305,1.05604
2023-01-03 14:00:00,1.05603,1.05975,1.05555,1.05744
2023-01-03 15:00:00,1.05745,1.05824,1.05548,1.05556
2023-01-03 16:00:00,1.05556,1.05589,1.05373,1.05582
