date,open,high,low,close
2023-03-01 00:00:00,1.05772,1.05774,1.05655,1.05684
2023-03-01 01:00:00,1.05684,1.05853,1.05674,1.05845
2023-03-01 02:00:00,1.05845,1.05865,1.05816,1.05835
2023-03-01 03:00:00,1.05835,1.05957,1.05821,1.05935
2023-03-01 04:00:00,1.05934,1.05944,1.05884,1.05894
2023-03-01 05:00:00,1.05894,1.05954,1.05891,1.0591
2023-03-01 06:00:00,1.0591,1.06148,1.05895,1.06073
2023-03-01 07:00:00,1.06074,1.06451,1.06045,1.06418
2023-03-01 08:00:00,1.06417,1.0649,1.06259,1.06485
2023-03-01 09:00:00,1.06485,1.0657,1.06378,1.06426
2023-03-01 10:00:00,1.06425,1.06696,1.06401,1.06681
2023-03-01 11:00:00,1.06682,1.06742,1.06552,1.067
2023-03-01 12:00:00,1.06699,1.06874,1.06637,1.0687
2023-03-01 13:00:00,1.06869,1.06916,1.06694,1.06715
2023-03-01 14:00:00,1.06715,1.06797,1.06652,1.06669
2023-03-01 15:00:00,1.06668,1.06782,1.06439,1.06724
2023-03-01 16:00:00,1.06723,1.06786,1.06595,1.06734
2023-03-01 17:00:00,1.06734,1.06783,1.06646,1.06654
2023-03-01 18:00:00,1.06648,1.06649,1.06502,1.0652
2023-03-01 19:00:00,1.0652,1.06591,1.06464,1.06574
2023-03-01 20:00:00,1.06574,1.0666,1.06564,1.0665
2023-03-01 21:00:00,1.0665,1.06714,1.06648,1.0669
2023-03-01 22:00:00,1.0669,1.06706,1.06664,1.06693
2023-03-01 23:00:00,1.06694,1.06728,1.0666,1.06688
2023-03-02 00:00:00,1.06688,1.0673,1.06586,1.06606
2023-03-02 01:00:00,1.06605,1.0662,1.06469,1.06515
2023-03-02 02:00:00,1.06516,1.0657,1.0649,1.0656
2023-03-02 03:00:00,1.06559,1.0656,1.06449,1.06459
2023-03-02 04:00:00,1.06459,1.0651,1.06456,1.06482
2023-03-02 05:00:00,1.06482,1.06489,1.06375,1.06415
2023-03-02 06:00:00,1.06414,1.06438,1.06356,1.06395
2023-03-02 07:00:00,1.06396,1.06449,1.06324,1.06366
2023-03-02 08:00:00,1.06367,1.06392,1.06263,1.06387
2023-03-02 09:00:00,1.06386,1.06431,1.06193,1.06246
2023-03-02 10:00:00,1.06246,1.06308,1.06132,1.06142
2023-03-02 11:00:00,1.06141,1.06307,1.06138,1.06252
2023-03-02 12:00:00,1.06252,1.06313,1.06048,1.0606
2023-03-02 13:00:00,1.06061,1.061,1.05821,1.05861
2023-03-02 14:00:00,1.05862,1.06074,1.05857,1.05996
2023-03-02 15:00:00,1.05996,1.06148,1.05938,1.06087
2023-03-02 16:00:00,1.06086,1.0613,1.05924,1.05941
2023-03-02 17:00:00,1.05942,1.05952,1.05767,1.05799
2023-03-02 18:00:00,1.058,1.05942,1.05766,1.0593
2023-03-02 19:00:00,1.0593,1.05996,1.0589,1.05905
2023-03-02 20:00:00,1.05904,1.06069,1.05862,1.06006
2023-03-02 21:00:00,1.06006,1.06006,1.0596,1.05976
2023-03-02 22:00:00,1.05994,1.05994,1.0596,1.05987
2023-03-02 23:00:00,1.05986,1.06011,1.05973,1.05986
2023-03-03 00:00:00,1.05986,1.06118,1.05969,1.06108
2023-03-03 01:00:00,1.06108,1.06145,1.06054,1.06085
2023-03-03 02:00:00,1.06087,1.0615,1.0602,1.06027
2023-03-03 03:00:00,1.06028,1.06077,1.06023,1.06064
2023-03-03 04:00:00,1.06064,1.061,1.06054,1.06088
2023-03-03 05:00:00,1.06088,1.06134,1.06084,1.06092
2023-03-03 06:00:00,1.06093,1.06232,1.06092,1.06214
2023-03-03 07:00:00,1.06214,1.06232,1.06094,1.061
2023-03-03 08:00:00,1.06101,1.06293,1.06101,1.06212
2023-03-03 09:00:00,1.06211,1.06212,1.06074,1.061
2023-03-03 10:00:00,1.061,1.06235,1.06006,1.06168
2023-03-03 11:00:00,1.06169,1.06183,1.06101,1.06148
2023-03-03 12:00:00,1.06148,1.06187,1.06032,1.06128
2023-03-03 13:00:00,1.06128,1.06298,1.06108,1.06226
2023-03-03 14:00:00,1.06226,1.06298,1.06117,1.0614
2023-03-03 15:00:00,1.06138,1.0618,1.05884,1.05978
2023-03-03 16:00:00,1.05978,1.06174,1.05928,1.0616
2023-03-03 17:00:00,1.0616,1.06252,1.0612,1.06249
2023-03-03 18:00:00,1.06249,1.06276,1.06201,1.06245
2023-03-03 19:00:00,1.06244,1.06358,1.06235,1.06348
2023-03-03 20:00:00,1.06348,1.06388,1.06306,1.06354
2023-03-03 21:00:00,1.06353,1.06353,1.06304,1.06332
2023-03-05 22:00:00,1.0628,1.06289,1.06245,1.06282
