date,open,high,low,close
2023-05-01 00:00:00,1.10137,1.1014,1.10046,1.10056
2023-05-01 01:00:00,1.10057,1.10086,1.10022,1.1004
2023-05-01 02:00:00,1.1004,1.10084,1.1001,1.10084
2023-05-01 03:00:00,1.10083,1.10143,1.10057,1.10142
2023-05-01 04:00:00,1.10143,1.10145,1.10035,1.10065
2023-05-01 05:00:00,1.10064,1.1009,1.10012,1.10061
2023-05-01 06:00:00,1.10061,1.10067,1.0995,1.0998
2023-05-01 07:00:00,1.0998,1.1006,1.09965,1.10035
2023-05-01 08:00:00,1.10034,1.10034,1.09917,1.09924
2023-05-01 09:00:00,1.09924,1.10046,1.09885,1.10034
2023-05-01 10:00:00,1.10033,1.10098,1.1,1.1009
2023-05-01 11:00:00,1.10091,1.10142,1.10065,1.10134
2023-05-01 12:00:00,1.10134,1.10338,1.1008,1.1033
2023-05-01 13:00:00,1.1033,1.10356,1.10182,1.10192
2023-05-01 14:00:00,1.10187,1.10187,1.0978,1.09817
2023-05-01 15:00:00,1.09816,1.09822,1.09664,1.09695
2023-05-01 16:00:00,1.09693,1.09716,1.09646,1.09676
2023-05-01 17:00:00,1.09675,1.09722,1.09655,1.09722
2023-05-01 18:00:00,1.0972,1.09758,1.09688,1.09696
2023-05-01 19:00:00,1.09696,1.09736,1.0966,1.09729
2023-05-01 20:00:00,1.0973,1.09771,1.09718,1.09762
2023-05-01 21:00:00,1.09755,1.09773,1.09734,1.09765
2023-05-01 22:00:00,1.09764,1.09765,1.09736,1.09742
2023-05-01 23:00:00,1.09743,1.09744,1.09675,1.0969
2023-05-02 00:00:00,1.09689,1.09793,1.09687,1.0979
2023-05-02 01:00:00,1.0979,1.09945,1.09788,1.09882
2023-05-02 02:00:00,1.09884,1.09914,1.09862,1.09886
2023-05-02 03:00:00,1.09887,1.09888,1.09836,1.09843
2023-05-02 04:00:00,1.09842,1.09892,1.09792,1.09847
2023-05-02 05:00:00,1.0985,1.09928,1.09834,1.09834
2023-05-02 06:00:00,1.09834,1.09948,1.09832,1.09918
2023-05-02 07:00:00,1.09917,1.10068,1.09826,1.09859
2023-05-02 08:00:00,1.09858,1.09859,1.09601,1.09719
2023-05-02 09:00:00,1.0972,1.09817,1.09496,1.09529
2023-05-02 10:00:00,1.0953,1.09602,1.09483,1.0957
2023-05-02 11:00:00,1.09571,1.09765,1.09569,1.09678
2023-05-02 12:00:00,1.09678,1.09708,1.09544,1.09553
2023-05-02 13:00:00,1.09553,1.09594,1.09423,1.09438
2023-05-02 14:00:00,1.09438,1.0993,1.09435,1.09792
2023-05-02 15:00:00,1.09792,1.09976,1.09778,1.09968
2023-05-02 16:00:00,1.09968,1.10033,1.09943,1.1
2023-05-02 17:00:00,1.1,1.10038,1.09948,1.09974
2023-05-02 18:00:00,1.09975,1.10018,1.09974,1.10013
2023-05-02 19:00:00,1.10014,1.10081,1.10005,1.1006
2023-05-02 20:00:00,1.1006,1.1007,1.09988,1.09996
2023-05-02 21:00:00,1.10017,1.10042,1.09997,1.10021
2023-05-02 22:00:00,1.10025,1.10066,1.10008,1.10066
2023-05-02 23:00:00,1.10065,1.1014,1.10051,1.10109
2023-05-03 00:00:00,1.1011,1.10206,1.1005,1.10176
2023-05-03 01:00:00,1.10172,1.10241,1.1013,1.1023
2023-05-03 02:00:00,1.1023,1.1026,1.10199,1.10255
2023-05-03 03:00:00,1.10255,1.103,1.10253,1.10296
2023-05-03 04:00:00,1.10293,1.10295,1.10215,1.10218
2023-05-03 05:00:00,1.10219,1.10265,1.10186,1.10202
2023-05-03 06:00:00,1.10202,1.1032,1.10144,1.10309
2023-05-03 07:00:00,1.10309,1.10414,1.10262,1.10346
2023-05-03 08:00:00,1.10345,1.1047,1.10345,1.10399
